#DIV/0!,AE (s-1),,,,,,,,,,,,,,
#DIV/0!,AT (s-1),,,,,,,,,,,,,,
8.11,C1,,,,,,,,,,,,,,
-3380,C2,,,,,,,,,,,,,,
#DIV/0!,ln(N(T)) slope,,,,,,,,,,,,,,
#DIV/0!,ln(A) intercept,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
#DIV/0!,Arrhenius Factor (No./s),,,,,,,,,,,,,,
6.62607E-34,h (Js-1),,,,,,,,,,,,,,
299792458,c (ms-1),,,,,,,,,,,,,,
1.38065E-23,k (JK-1),,,,,,,,,,,,,,
#DIV/0!,Ea (cm-1/K),,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
A,B,,,,,G,H,I,J,K,L,M,,,
FN,T (oC),,,,,AT (s-1),N(T),1/T (K-1),ln(N),t200C (ms),Nfit(T),tfit (ms),,,
tek0000ch1.csv,19.4,,,,,,,,,,,,,,
tek0001ch1.csv,19.4,,,,,,,#DIV/0!,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,
tek0002ch1.csv,20.0,,,,,,,#DIV/0!,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,
tek0003ch1.csv,25.0,,,,,,,#DIV/0!,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,
tek0004ch1.csv,30.0,,,,,,,#DIV/0!,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,
tek0005ch1.csv,35.0,,,,,,,#DIV/0!,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,
tek0006ch1.csv,40.0,,,,,,,#DIV/0!,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,
tek0007ch1.csv,45.0,,,,,,,#DIV/0!,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,
tek0008ch1.csv,50.0,,,,,,,#DIV/0!,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,
tek0009ch1.csv,55.0,,,,,,,#DIV/0!,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,
tek0010ch1.csv,60.0,,,,,,,#DIV/0!,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,
tek0011ch1.csv,65.0,,,,,,,#DIV/0!,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,
tek0012ch1.csv,70.0,,,,,,,#DIV/0!,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,
tek0013ch1.csv,75.0,,,,,,,#DIV/0!,,#DIV/0!,#DIV/0!,#DIV/0!,,,
tek0014ch1.csv,80.0,,,,,,,#DIV/0!,,#DIV/0!,#DIV/0!,#DIV/0!,,,
tek0015ch1.csv,85.0,,,,,,,#DIV/0!,,#DIV/0!,#DIV/0!,#DIV/0!,,,
tek0016ch1.csv,90.0,,,,,,,#DIV/0!,,#DIV/0!,#DIV/0!,#DIV/0!,,,
tek0017ch1.csv,95.0,,,,,,,#DIV/0!,,#DIV/0!,#DIV/0!,#DIV/0!,,,
tek0018ch1.csv,100.0,,,,,#DIV/0!,,#DIV/0!,,#DIV/0!,#DIV/0!,#DIV/0!,,,
tek0019ch1.csv,105.0,,,,,#DIV/0!,,#DIV/0!,,#DIV/0!,#DIV/0!,#DIV/0!,,,
tek0020ch1.csv,110.0,,,,,#DIV/0!,,#DIV/0!,,#DIV/0!,#DIV/0!,#DIV/0!,,,
tek0021ch1.csv,115.0,,,,,#DIV/0!,,#DIV/0!,,#DIV/0!,#DIV/0!,#DIV/0!,,,
tek0022ch1.csv,120.0,,,,,#DIV/0!,,#DIV/0!,,#DIV/0!,#DIV/0!,#DIV/0!,,,
tek0023ch1.csv,125.0,,,,,#DIV/0!,,#DIV/0!,,#DIV/0!,#DIV/0!,#DIV/0!,,,
tek0024ch1.csv,130.0,,,,,#DIV/0!,,#DIV/0!,,#DIV/0!,#DIV/0!,#DIV/0!,,,
tek0025ch1.csv,135.0,,,,,#DIV/0!,,#DIV/0!,,#DIV/0!,#DIV/0!,#DIV/0!,,,
tek0026ch1.csv,140.0,,,,,#DIV/0!,,#DIV/0!,,#DIV/0!,#DIV/0!,#DIV/0!,,,
tek0027ch1.csv,145.0,,,,,#DIV/0!,,#DIV/0!,,#DIV/0!,#DIV/0!,#DIV/0!,,,
tek0028ch1.csv,150.0,,,,,#DIV/0!,,#DIV/0!,,#DIV/0!,#DIV/0!,#DIV/0!,,,
tek0029ch1.csv,155.0,,,,,#DIV/0!,,#DIV/0!,,#DIV/0!,#DIV/0!,#DIV/0!,,,
tek0030ch1.csv,160.0,,,,,#DIV/0!,,#DIV/0!,,#DIV/0!,#DIV/0!,#DIV/0!,,,
tek0031ch1.csv,165.0,,,,,#DIV/0!,,#DIV/0!,,#DIV/0!,#DIV/0!,#DIV/0!,,,
tek0032ch1.csv,170.0,,,,,#DIV/0!,,#DIV/0!,,#DIV/0!,#DIV/0!,#DIV/0!,,,
tek0033ch1.csv,175.0,,,,,#DIV/0!,,#DIV/0!,,#DIV/0!,#DIV/0!,#DIV/0!,,,
tek0034ch1.csv,180.0,,,,,#DIV/0!,,#DIV/0!,,#DIV/0!,#DIV/0!,#DIV/0!,,,
tek0035ch1.csv,185.0,,,,,#DIV/0!,,#DIV/0!,,#DIV/0!,#DIV/0!,#DIV/0!,,,
tek0036ch1.csv,190.0,,,,,#DIV/0!,,#DIV/0!,,#DIV/0!,#DIV/0!,#DIV/0!,,,
tek0037ch1.csv,195.0,,,,,#DIV/0!,,#DIV/0!,,#DIV/0!,#DIV/0!,#DIV/0!,,,
tek0038ch1.csv,200.0,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,
tek0039ch1.csv,205.0,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,
tek0040ch1.csv,210.0,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,
tek0041ch1.csv,215.0,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,
tek0042ch1.csv,220.0,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,
tek0043ch1.csv,225.0,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,
tek0044ch1.csv,230.0,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,
tek0045ch1.csv,235.0,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,
tek0046ch1.csv,240.0,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,
tek0047ch1.csv,245.0,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,
tek0048ch1.csv,250.0,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,
tek0049ch1.csv,255.0,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,
tek0050ch1.csv,260.0,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,
tek0051ch1.csv,265.0,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,
tek0052ch1.csv,270.0,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,
tek0053ch1.csv,275.0,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,
tek0054ch1.csv,280.0,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,
tek0055ch1.csv,285.0,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,
tek0056ch1.csv,290.0,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,
tek0057ch1.csv,295.0,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,
tek0058ch1.csv,300.0,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,
tek0059ch1.csv,305.0,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,
tek0060ch1.csv,310.0,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,
tek0061ch1.csv,315.0,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,
tek0062ch1.csv,320.0,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,
tek0063ch1.csv,325.0,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,
tek0064ch1.csv,330.0,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,
tek0065ch1.csv,335.0,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,
tek0066ch1.csv,340.0,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,
tek0067ch1.csv,345.0,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,
tek0068ch1.csv,350.0,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,
tek0069ch1.csv,355.0,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,
tek0070ch1.csv,360.0,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,
tek0071ch1.csv,365.0,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,
tek0072ch1.csv,370.0,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,
tek0073ch1.csv,375.0,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,
tek0074ch1.csv,380.0,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,
tek0075ch1.csv,385.0,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,
tek0076ch1.csv,390.0,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,
tek0077ch1.csv,395.0,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,
tek0078ch1.csv,400.0,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,
tek0079ch1.csv,405.0,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,
tek0080ch1.csv,410.0,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,
tek0081ch1.csv,415.0,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,
,,,,,,,,,,,,,,,
